winner
Chennai Super Kings
Kolkata Knight Riders
Mumbai Indians
Royal Challengers Bangalore
Sunrisers Hyderabad
Mumbai Indians
Chennai Super Kings
Kolkata Knight Riders
Royal Challengers Bangalore
Sunrisers Hyderabad
Mumbai Indians
Kolkata Knight Riders
Royal Challengers Bangalore
Chennai Super Kings
Sunrisers Hyderabad
Kings XI Punjab
Mumbai Indians
Royal Challengers Bangalore
Chennai Super Kings
Rajasthan Royals
Mumbai Indians
Mumbai Indians
Royal Challengers Bangalore
Chennai Super Kings
Mumbai Indians
Royal Challengers Bangalore
Mumbai Indians
Kolkata Knight Riders
Sunrisers Hyderabad
Kolkata Knight Riders
Mumbai Indians
Sunrisers Hyderabad
Mumbai Indians
Mumbai Indians
Sunrisers Hyderabad
Kolkata Knight Riders
Kolkata Knight Riders
Sunrisers Hyderabad
Royal Challengers Bangalore
Mumbai Indians
Kings XI Punjab
Sunrisers Hyderabad
Royal Challengers Bangalore
Royal Challengers Bangalore
Kolkata Knight Riders
Sunrisers Hyderabad
Sunrisers Hyderabad
Sunrisers Hyderabad
Mumbai Indians
Kings XI Punjab
Mumbai Indians
Kolkata Knight Riders
Mumbai Indians
Kolkata Knight Riders
Sunrisers Hyderabad
Mumbai Indians
Kolkata Knight Riders
Sunrisers Hyderabad
Sunrisers Hyderabad
Mumbai Indians
Kings XI Punjab
Kolkata Knight Riders
Sunrisers Hyderabad
Kings XI Punjab
Kings XI Punjab
Mumbai Indians
Kolkata Knight Riders
Mumbai Indians
Chennai Super Kings
Kolkata Knight Riders
Sunrisers Hyderabad
Chennai Super Kings
Sunrisers Hyderabad
Royal Challengers Bangalore
Sunrisers Hyderabad
Rajasthan Royals
Kings XI Punjab
Mumbai Indians
Kolkata Knight Riders
Kings XI Punjab
Chennai Super Kings
Kings XI Punjab
Chennai Super Kings
Rajasthan Royals
Sunrisers Hyderabad
Chennai Super Kings
Sunrisers Hyderabad
Mumbai Indians
Sunrisers Hyderabad
Kolkata Knight Riders
Royal Challengers Bangalore
Kolkata Knight Riders
Mumbai Indians
Chennai Super Kings
Mumbai Indians
Kings XI Punjab
Sunrisers Hyderabad
Rajasthan Royals
Mumbai Indians
Rajasthan Royals
Kolkata Knight Riders
Chennai Super Kings
Rajasthan Royals
Royal Challengers Bangalore
Kolkata Knight Riders
Mumbai Indians
Royal Challengers Bangalore
Rajasthan Royals
Kolkata Knight Riders
Chennai Super Kings
Chennai Super Kings
Kolkata Knight Riders
Sunrisers Hyderabad
Chennai Super Kings
Chennai Super Kings
Kolkata Knight Riders
Delhi Capitals
Kings XI Punjab
Chennai Super Kings
Kolkata Knight Riders
Mumbai Indians
Sunrisers Hyderabad
Kings XI Punjab
Delhi Capitals
Sunrisers Hyderabad
Chennai Super Kings
Kings XI Punjab
Rajasthan Royals
Mumbai Indians
Sunrisers Hyderabad
Kolkata Knight Riders
Chennai Super Kings
Mumbai Indians
Delhi Capitals
Kolkata Knight Riders
Kings XI Punjab
Chennai Super Kings
Mumbai Indians
Chennai Super Kings
Delhi Capitals
Rajasthan Royals
Royal Challengers Bangalore
Chennai Super Kings
Delhi Capitals
Mumbai Indians
Kings XI Punjab
Sunrisers Hyderabad
Mumbai Indians
Royal Challengers Bangalore
Rajasthan Royals
Delhi Capitals
Sunrisers Hyderabad
Royal Challengers Bangalore
Delhi Capitals
Chennai Super Kings
Royal Challengers Bangalore
Rajasthan Royals
Mumbai Indians
Rajasthan Royals
Delhi Capitals
Kolkata Knight Riders
Sunrisers Hyderabad
Chennai Super Kings
Mumbai Indians
Kolkata Knight Riders
Delhi Capitals
Royal Challengers Bangalore
Kings XI Punjab
Mumbai Indians
Mumbai Indians
Delhi Capitals
Chennai Super Kings
Mumbai Indians
Chennai Super Kings
Delhi Capitals
Royal Challengers Bangalore
Rajasthan Royals
Mumbai Indians
Kings XI Punjab
Delhi Capitals
Kolkata Knight Riders
Rajasthan Royals
Royal Challengers Bangalore
Sunrisers Hyderabad
Kolkata Knight Riders
Mumbai Indians
Sunrisers Hyderabad
Royal Challengers Bangalore
Delhi Capitals
Chennai Super Kings
Mumbai Indians
Delhi Capitals
Mumbai Indians
Kolkata Knight Riders
Sunrisers Hyderabad
Delhi Capitals
Kolkata Knight Riders
Royal Challengers Bangalore
Rajasthan Royals
Mumbai Indians
Royal Challengers Bangalore
Chennai Super Kings
Delhi Capitals
Kings XI Punjab
Mumbai Indians
Delhi Capitals
Royal Challengers Bangalore
Kolkata Knight Riders
Kings XI Punjab
Rajasthan Royals
Kings XI Punjab
Royal Challengers Bangalore
Sunrisers Hyderabad
Mumbai Indians
Kolkata Knight Riders
Kings XI Punjab
Rajasthan Royals
Chennai Super Kings
Kings XI Punjab
Sunrisers Hyderabad
Mumbai Indians
Chennai Super Kings
Rajasthan Royals
Sunrisers Hyderabad
Mumbai Indians
Chennai Super Kings
Kolkata Knight Riders
Delhi Capitals
Sunrisers Hyderabad
Mumbai Indians
Sunrisers Hyderabad
Delhi Capitals
Mumbai Indians
Royal Challengers Bangalore
Delhi Capitals
Kolkata Knight Riders
Punjab Kings
Mumbai Indians
Royal Challengers Bangalore
Rajasthan Royals
Chennai Super Kings
Mumbai Indians
Royal Challengers Bangalore
Delhi Capitals
Chennai Super Kings
Delhi Capitals
Sunrisers Hyderabad
Chennai Super Kings
Royal Challengers Bangalore
Punjab Kings
Rajasthan Royals
Chennai Super Kings
Delhi Capitals
Kolkata Knight Riders
Royal Challengers Bangalore
Chennai Super Kings
Mumbai Indians
Delhi Capitals
Punjab Kings
Mumbai Indians
Rajasthan Royals
Delhi Capitals
Chennai Super Kings
Kolkata Knight Riders
Rajasthan Royals
Delhi Capitals
Kolkata Knight Riders
Chennai Super Kings
Delhi Capitals
Punjab Kings
Chennai Super Kings
Royal Challengers Bangalore
Sunrisers Hyderabad
Kolkata Knight Riders
Mumbai Indians
Royal Challengers Bangalore
Chennai Super Kings
Punjab Kings
Rajasthan Royals
Delhi Capitals
Royal Challengers Bangalore
Kolkata Knight Riders
Delhi Capitals
Mumbai Indians
Sunrisers Hyderabad
Punjab Kings
Kolkata Knight Riders
Mumbai Indians
Royal Challengers Bangalore
Chennai Super Kings
Kolkata Knight Riders
Kolkata Knight Riders
Chennai Super Kings
Kolkata Knight Riders
Delhi Capitals
Punjab Kings
Rajasthan Royals
Royal Challengers Bangalore
Kolkata Knight Riders
Rajasthan Royals
Punjab Kings
Royal Challengers Bangalore
Kolkata Knight Riders
Sunrisers Hyderabad
Royal Challengers Bangalore
Delhi Capitals
Chennai Super Kings
Punjab Kings
Sunrisers Hyderabad
Royal Challengers Bangalore
Sunrisers Hyderabad
Rajasthan Royals
Delhi Capitals
Chennai Super Kings
Rajasthan Royals
Sunrisers Hyderabad
Punjab Kings
Rajasthan Royals
Delhi Capitals
Mumbai Indians
Chennai Super Kings
Kolkata Knight Riders
Royal Challengers Bangalore
Delhi Capitals
Rajasthan Royals
Royal Challengers Bangalore
Chennai Super Kings
Kolkata Knight Riders
Delhi Capitals
Mumbai Indians
Punjab Kings
Kolkata Knight Riders
Delhi Capitals
Sunrisers Hyderabad
Rajasthan Royals
Mumbai Indians
Punjab Kings
Rajasthan Royals
Punjab Kings
Rajasthan Royals
Royal Challengers Bangalore
Punjab Kings
Kolkata Knight Riders
Rajasthan Royals
Chennai Super Kings
Sunrisers Hyderabad
Mumbai Indians
Rajasthan Royals
Sunrisers Hyderabad
Royal Challengers Bangalore
Mumbai Indians
Chennai Super Kings
Mumbai Indians
Royal Challengers Bangalore
Delhi Capitals
Chennai Super Kings
Punjab Kings
Royal Challengers Bangalore
Chennai Super Kings
Delhi Capitals
Kolkata Knight Riders
Rajasthan Royals
Sunrisers Hyderabad
Punjab Kings
Mumbai Indians
Mumbai Indians
Kolkata Knight Riders
Chennai Super Kings
Delhi Capitals
Sunrisers Hyderabad
Kolkata Knight Riders
Mumbai Indians
Chennai Super Kings
Rajasthan Royals
Punjab Kings
Royal Challengers Bangalore
Kolkata Knight Riders
Delhi Capitals
Royal Challengers Bangalore
Rajasthan Royals
Chennai Super Kings
Mumbai Indians
Punjab Kings
Kolkata Knight Riders
Sunrisers Hyderabad
Rajasthan Royals
Delhi Capitals
Rajasthan Royals
Kolkata Knight Riders
Sunrisers Hyderabad
Mumbai Indians
Chennai Super Kings
Sunrisers Hyderabad
Rajasthan Royals
Chennai Super Kings
Rajasthan Royals
Mumbai Indians
Sunrisers Hyderabad
Rajasthan Royals
Punjab Kings
Delhi Capitals
Chennai Super Kings
Kolkata Knight Riders
Punjab Kings
Sunrisers Hyderabad
Kolkata Knight Riders
Chennai Super Kings
Mumbai Indians
Delhi Capitals
Kolkata Knight Riders
Chennai Super Kings
Punjab Kings
Sunrisers Hyderabad
Kolkata Knight Riders
Sunrisers Hyderabad
Kolkata Knight Riders
